DEPTH,CALI,GR,DT,RHOB,ILD,NPHI,lstrat,wellname
842.0,,17.7642,,,,,Andrew,211/18-9
842.5,,17.3861,,,,,Andrew,211/18-9
843.0,,18.1286,,,,,Andrew,211/18-9
843.5,,18.2997,,,,,Andrew,211/18-9
844.0,,17.7077,,,,,Andrew,211/18-9
844.5,,16.2377,,,,,Andrew,211/18-9
845.0,,16.1495,,,,,Andrew,211/18-9
845.5,,16.9126,,,,,Andrew,211/18-9
846.0,,16.9716,,,,,Andrew,211/18-9
846.5,,17.669,,,,,Andrew,211/18-9
847.0,,19.7343,,,,,Andrew,211/18-9
847.5,,20.2824,,,,,Andrew,211/18-9
848.0,,20.5122,,,,,Andrew,211/18-9
848.5,,21.2749,,,,,Andrew,211/18-9
849.0,,21.9016,,,,,Andrew,211/18-9
849.5,,22.7302,,,,,Andrew,211/18-9
850.0,,22.0676,,,,,Andrew,211/18-9
850.5,,21.474,,,,,Andrew,211/18-9
851.0,,21.6116,,,,,Andrew,211/18-9
851.5,,22.1763,,,,,Andrew,211/18-9
852.0,,21.1223,,,,,Andrew,211/18-9
852.5,,20.2985,,,,,Andrew,211/18-9
853.0,,20.8891,,,,,Andrew,211/18-9
853.5,,19.6986,,,,,Andrew,211/18-9
854.0,,18.008,,,,,Andrew,211/18-9
854.5,,17.2141,,,,,Andrew,211/18-9
855.0,,18.2765,,,,,Andrew,211/18-9
855.5,,20.3194,,,,,Andrew,211/18-9
856.0,,21.1125,,,,,Andrew,211/18-9
856.5,,21.3885,,,,,Andrew,211/18-9
857.0,,22.319,,,,,Andrew,211/18-9
857.5,,22.7142,,,,,Andrew,211/18-9
858.0,,21.8012,,,,,Andrew,211/18-9
858.5,,20.3801,,,,,Andrew,211/18-9
859.0,,20.6489,,,,,Andrew,211/18-9
859.5,,20.8532,,,,,Andrew,211/18-9
860.0,,20.8518,,,,,Andrew,211/18-9
860.5,,20.7437,,,,,Andrew,211/18-9
861.0,,21.8341,,,,,Andrew,211/18-9
861.5,,22.327,,,,,Andrew,211/18-9
862.0,,21.401,,,,,Andrew,211/18-9
862.5,,21.3092,,,,,Andrew,211/18-9
863.0,,21.6713,,,,,Andrew,211/18-9
863.5,,21.6837,,,,,Andrew,211/18-9
864.0,,22.185,,,,,Andrew,211/18-9
864.5,,23.1018,,,,,Andrew,211/18-9
865.0,,23.1558,,,,,Andrew,211/18-9
865.5,,22.9669,,,,,Andrew,211/18-9
866.0,,22.8561,,,,,Andrew,211/18-9
866.5,,22.0911,,,,,Andrew,211/18-9
867.0,,20.4917,,,,,Andrew,211/18-9
867.5,,18.777,,,,,Andrew,211/18-9
868.0,,18.3437,,,,,Andrew,211/18-9
868.5,,20.4185,,,,,Andrew,211/18-9
869.0,,22.1534,,,,,Andrew,211/18-9
869.5,,23.2051,,,,,Andrew,211/18-9
870.0,,22.6443,,,,,Andrew,211/18-9
870.5,,20.9037,,,,,Andrew,211/18-9
871.0,,19.1957,,,,,Andrew,211/18-9
871.5,,18.423,,,,,Andrew,211/18-9
872.0,,18.4585,,,,,Andrew,211/18-9
872.5,,20.3081,,,,,Andrew,211/18-9
873.0,,23.0703,,,,,Andrew,211/18-9
873.5,,24.4164,,,,,Andrew,211/18-9
874.0,,24.4198,,,,,Andrew,211/18-9
874.5,,22.7807,,,,,Andrew,211/18-9
875.0,,21.418,,,,,Andrew,211/18-9
875.5,,22.224,,,,,Andrew,211/18-9
876.0,,22.5043,,,,,Andrew,211/18-9
